id,city,description,temp,feels_like,temp_min,temp_max,visibility,wind_speed,wind_deg,createdAt,updatedAt
1,Delhi,haze,32.59,32.24,31,34.44,2500,2.06,10,Sat May 01 2021 02:29:09 GMT+0530 (India Standard Time),Sat May 01 2021 02:29:09 GMT+0530 (India Standard Time)
2,Jamshedpur,few clouds,27.53,28.42,27.53,27.53,10000,1.96,218,Sat May 01 2021 02:31:09 GMT+0530 (India Standard Time),Sat May 01 2021 02:31:09 GMT+0530 (India Standard Time)
3,Vellore,few clouds,26.1,26.1,26.1,26.1,10000,2.27,112,Sat May 01 2021 02:31:22 GMT+0530 (India Standard Time),Sat May 01 2021 02:31:22 GMT+0530 (India Standard Time)
4,Delhi,haze,38,35.88,38,38,4000,4.12,260,Mon May 03 2021 16:04:10 GMT+0530 (India Standard Time),Mon May 03 2021 16:04:10 GMT+0530 (India Standard Time)
5,Chandigarh,few clouds,38.4,36,38.4,38.4,10000,3.63,288,Mon May 03 2021 16:08:07 GMT+0530 (India Standard Time),Mon May 03 2021 16:08:07 GMT+0530 (India Standard Time)
6,Chandigarh,few clouds,38.4,36,38.4,38.4,10000,3.63,288,Mon May 03 2021 16:25:43 GMT+0530 (India Standard Time),Mon May 03 2021 16:25:43 GMT+0530 (India Standard Time)
7,Vellore,broken clouds,37.63,37.62,37.63,37.63,10000,3.51,89,Wed May 05 2021 14:43:40 GMT+0530 (India Standard Time),Wed May 05 2021 14:43:40 GMT+0530 (India Standard Time)
8,Vellore,broken clouds,37.63,37.62,37.63,37.63,10000,3.51,89,Wed May 05 2021 14:43:49 GMT+0530 (India Standard Time),Wed May 05 2021 14:43:49 GMT+0530 (India Standard Time)
9,Vellore,broken clouds,37.63,37.62,37.63,37.63,10000,3.51,89,Wed May 05 2021 14:44:17 GMT+0530 (India Standard Time),Wed May 05 2021 14:44:17 GMT+0530 (India Standard Time)
10,Vellore,broken clouds,37.63,37.62,37.63,37.63,10000,3.51,89,Wed May 05 2021 14:45:08 GMT+0530 (India Standard Time),Wed May 05 2021 14:45:08 GMT+0530 (India Standard Time)
11,Jamshedpur,broken clouds,33,36.88,33,33,3000,1.54,130,Wed May 05 2021 14:46:25 GMT+0530 (India Standard Time),Wed May 05 2021 14:46:25 GMT+0530 (India Standard Time)
12,Jamshedpur,overcast clouds,30,30.6,30,30,10000,3.17,125,Wed May 12 2021 18:54:49 GMT+0530 (India Standard Time),Wed May 12 2021 18:54:49 GMT+0530 (India Standard Time)
13,Jamshedpur,overcast clouds,30,30.6,30,30,10000,3.17,125,Wed May 12 2021 18:55:25 GMT+0530 (India Standard Time),Wed May 12 2021 18:55:25 GMT+0530 (India Standard Time)
14,Pakistan,broken clouds,28.21,26.78,28.21,28.21,10000,2.94,185,Wed May 12 2021 18:55:58 GMT+0530 (India Standard Time),Wed May 12 2021 18:55:58 GMT+0530 (India Standard Time)
15,Vellore,heavy intensity rain,32.07,36.35,32.07,32.07,10000,6.44,136,Thu May 13 2021 19:45:16 GMT+0530 (India Standard Time),Thu May 13 2021 19:45:16 GMT+0530 (India Standard Time)
16,Jamshedpur,few clouds,26.73,28.27,26.73,26.73,10000,6.45,89,Thu May 13 2021 19:46:15 GMT+0530 (India Standard Time),Thu May 13 2021 19:46:15 GMT+0530 (India Standard Time)
17,State of Meghālaya,overcast clouds,14.81,14.8,14.81,14.81,10000,0.33,163,Thu May 13 2021 19:52:59 GMT+0530 (India Standard Time),Thu May 13 2021 19:52:59 GMT+0530 (India Standard Time)
18,Vellore,overcast clouds,34.85,37.86,34.85,34.85,10000,5.69,144,Fri May 14 2021 17:00:16 GMT+0530 (India Standard Time),Fri May 14 2021 17:00:16 GMT+0530 (India Standard Time)
19,Jamshedpur,haze,36,39.5,36,36,5000,1.54,50,Fri May 14 2021 17:00:30 GMT+0530 (India Standard Time),Fri May 14 2021 17:00:30 GMT+0530 (India Standard Time)
20,Vellore,overcast clouds,34.85,37.86,34.85,34.85,10000,5.69,144,Fri May 14 2021 17:00:53 GMT+0530 (India Standard Time),Fri May 14 2021 17:00:53 GMT+0530 (India Standard Time)